"id","value","property","lang","correct_lang"
001,photography,hasAppliedMethod,en,
002,scanning,hasAppliedMethod,,en
003,3D scanning,hasAppliedMethod,,en
004,photography,hasAppliedMethod,,en
005,Photography.,hasAppliedMethod,en,
006,"data management, data curation",hasAppliedMethod,en,
007,"Archaeological excavation, pottery documentation, photography.",hasAppliedMethod,en,
008,lemmatization,hasAppliedMethod,,en
009,part-of-speech-tagging,hasAppliedMethod,,en
010,tokenization,hasAppliedMethod,,en
011,"VOICE, the Vienna-Oxford International Corpus of English, is a one-million-word corpus of naturally-occurring, non-scripted, face-to-face interactions carried out using English as a lingua franca (ELF), i.e. English used as a common means of communication among speakers from different first-language backgrounds. The interactions recorded and transcribed are complete speech events from different domains (educational, leisure, professional) and represent different speech event types (conversation, interview, meeting, panel, press conference, question-answer session, seminar discussion, service encounter, working group discussion, workshop discussion).",hasAppliedMethod,en,
012,XML/TEI (P5),hasAppliedMethod,,en
013,OCR,hasAppliedMethod,,en
014,"pottery documentation, inked drawings",hasAppliedMethod,en,
015,TEI schema customization,hasAppliedMethod,,en
016,XML/TEI structural and semantic annotation,hasAppliedMethod,,en
017,"archaeological excavation, pottery documentation, photography",hasAppliedMethod,en,
018,CT-scans,hasAppliedMethod,,en
019,index file creation,hasAppliedMethod,,en
020,Petrographic analysis.,hasAppliedMethod,en,
021,Photogrammetrie,hasAppliedMethod,,de
022,structure from motion,hasAppliedMethod,,en
023,Airborne Laserscan,hasAppliedMethod,,de
024,Bauaufnahme,hasAppliedMethod,,de
025,Fernerkundung,hasAppliedMethod,,de
026,Luftbild,hasAppliedMethod,,de
027,Pottery documentation.,hasAppliedMethod,en,
028,SKOS Simple Knowledge Organization System,hasAppliedMethod,,en
029,Survey,hasAppliedMethod,,de
030,3D-Dokumentation,hasAppliedMethod,,de
031,3D-Modellierung,hasAppliedMethod,,de
032,3D scanning,hasAppliedMethod,en,
033,archaeological excavation,hasAppliedMethod,en,
034,Archäometrie,hasAppliedMethod,,de
035,borehole sampling,hasAppliedMethod,en,
036,CT-scans,hasAppliedMethod,en,
037,geological survey,hasAppliedMethod,en,
038,Geomagnetik,hasAppliedMethod,,de
039,geomorphological survey,hasAppliedMethod,en,
040,Geophysik,hasAppliedMethod,,de
041,Georadar,hasAppliedMethod,,de
042,"image creation (scanning, photography)",hasAppliedMethod,,en
043,Karten,hasAppliedMethod,,de
044,Laser Scanning,hasAppliedMethod,,en
045,Oberflächensurvey,hasAppliedMethod,,de
046,"OCR, XML/TEI structural and semantic annotation",hasAppliedMethod,,en
047,Part of Speech Tagging,hasAppliedMethod,,en
048,photography in public,hasAppliedMethod,en,
049,"pottery documentation, inked drawings",hasAppliedMethod,,en
050,remote sensing,hasAppliedMethod,en,
051,Satellitenbild,hasAppliedMethod,,de
052,sediment analysis,hasAppliedMethod,en,
053,SKOS data modelling,hasAppliedMethod,,en
054,structure from motion,hasAppliedMethod,en,
055,Structure from Motion (SfM),hasAppliedMethod,,en
056,surface survey,hasAppliedMethod,en,
057,Terrestrischer Laserscan,hasAppliedMethod,,de
058,Terrestrisches Laserscanning (TLS),hasAppliedMethod,,de
059,textual annotation,hasAppliedMethod,en,
060,topographical survey,hasAppliedMethod,en,
061,Vermessung,hasAppliedMethod,,de
062,Virtuelle Rekonstruktion,hasAppliedMethod,,de
063,XML/TEI (P5) encoding,hasAppliedMethod,,en
064,X-ray,hasAppliedMethod,,en
065,Image,hasCategory,en,
066,XML/TEI,hasCategory,en,
067,GeoJSON Dataset,hasCategory,en,
068,3d data,hasCategory,en,
069,Dataset,hasCategory,en,
070,Text,hasCategory,en,
071,Model,hasCategory,en,
072,Collection,hasCategory,en,
073,Tabular Dataset,hasCategory,en,
074,Speech,hasCategory,en,
075,Other,hasCategory,en,
076,Corpus,hasCategory,en,
077,Audio Visual,hasCategory,en,
078,Lexical Resource,hasCategory,en,
079,Controlled Vocabulary,hasCategory,en,
080,pottery fragments,hasSubject,en,
081,Geschichte,hasSubject,de,
082,Grundbuch,hasSubject,de,
083,historic administrative units,hasSubject,en,
084,GIS,hasSubject,en,delete
085,Brief,hasSubject,de,
086,D.K.BRF,hasSubject,de,
087,Durchschlag,hasSubject,de,
088,Typoskript,hasSubject,de,
089,aerial warfare,hasSubject,en,
090,Second world war,hasSubject,en,
091,Zwischenkriegszeit,hasSubject,de,
092,multilingualism,hasSubject,en,
093,English as a lingua franca,hasSubject,en,
094,interaction,hasSubject,en,
095,interculturality,hasSubject,en,
096,Druck,hasSubject,de,
097,Landgericht,hasSubject,en,de
098,District Captaincy,hasSubject,en,
099,pottery,hasSubject,,en
100,Zeitungsartikel,hasSubject,de,
101,D.P.ZTA,hasSubject,de,
102,Bezirksamt,hasSubject,en,de
103,part-of-speech tagging,hasSubject,en,
104,lemmatization,hasSubject,en,
105,Mappe,hasSubject,de,
106,D.J.MAP,hasSubject,de,
107,Originalmappe,hasSubject,de,
108,Manuskript,hasSubject,de,
109,Kopie,hasSubject,de,
110,Durchschlag mit handschriftlichen Überarbeitungen,hasSubject,de,
111,Aktenvermerk,hasSubject,de,
112,D.J.AKV,hasSubject,de,
113,Durchschlag mit handschriftlichen Annotationen,hasSubject,de,
114,Typoskript mit handschriftlichen Annotationen,hasSubject,de,
115,Beschluss,hasSubject,de,
116,D.J.BSS,hasSubject,de,
117,County,hasSubject,en,
118,Antrag,hasSubject,de,
119,D.J.ANT,hasSubject,de,
120,word tokenization,hasSubject,en,
121,Typoskript mit handschriftlichen Überarbeitungen,hasSubject,de,
122,Karl Kraus,hasSubject,de,delete
123,S.F.KRA,hasSubject,de,
124,C.S.PRI,hasSubject,de,
125,Privatanklagedelikt,hasSubject,de,
126,R.F.STR,hasSubject,de,
127,Strafrecht,hasSubject,de,
128,Buchgeschichte,hasSubject,de,
129,Geschichte des Lesens,hasSubject,de,
130,privater Buchbesitz,hasSubject,de,
131,D.J.URT,hasSubject,de,
132,Pensionierung,hasSubject,de,
133,Urteil,hasSubject,de,
134,Benachrichtigung,hasSubject,de,
135,D.J.BEN,hasSubject,de,
136,leisure conversation,hasSubject,en,
137,D.J.PKL,hasSubject,de,
138,Protokoll,hasSubject,de,
139,D.J.PKG,hasSubject,de,
140,Privatanklage,hasSubject,de,
141,D.J.LAD,hasSubject,de,
142,Ladung,hasSubject,de,
143,D.J.STZ,hasSubject,de,
144,Schriftsatz,hasSubject,de,
145,Preßrechtsverstoß,hasSubject,de,
146,T.F.PRE,hasSubject,de,
147,Kingdom,hasSubject,en,
148,D.K.RKS,hasSubject,de,
149,Rückschein,hasSubject,de,
150,Province,hasSubject,en,
151,County (administrative unit),hasSubject,en,
152,C.S.PRE,hasSubject,de,
153,Pressedelikt,hasSubject,de,
154,Pressrecht,hasSubject,de,
155,R.F.PRE,hasSubject,de,
156,amtsfreie Stadt,hasSubject,en,de
157,Typoskript mit handschirftlichen Überarbeitungen,hasSubject,de,
158,professional organizational working group discussion,hasSubject,en,
159,Verwaltung,hasSubject,de,
160,Kreis,hasSubject,en,de
161,Governmental District,hasSubject,en,
162,professional organizational meeting,hasSubject,en,
163,Mitbestimmung,hasSubject,de,
164,educational workshop discussion,hasSubject,en,
165,R.F.SON,hasSubject,de,
166,Sonstiger Rechtsbereich,hasSubject,de,
167,D.J.ENW,hasSubject,de,
168,Entwurf (jur.),hasSubject,de,
169,Außergerichtliche Erledigung,hasSubject,de,
170,E.F.AGE,hasSubject,de,
171,Umschlag,hasSubject,de,
172,Demokratisierung,hasSubject,de,
173,D.J.UMS,hasSubject,de,
174,D.K.PKT,hasSubject,de,
175,Originalumschlag,hasSubject,de,
176,Postkarte,hasSubject,de,
177,D.J.VRS,hasSubject,de,
178,Verständigung,hasSubject,de,
179,Statutory City,hasSubject,en,
180,D.K.EBS,hasSubject,de,
181,Erhaltsbestätigung,hasSubject,de,
182,D.J.KFS,hasSubject,de,
183,Imperial Circle,hasSubject,en,
184,Kostenfestsetzung,hasSubject,de,
185,professional business meeting,hasSubject,en,
186,professional organizational workshop discussion,hasSubject,en,
187,Berichtigung (Ausgang),hasSubject,de,
188,E.F.AEB,hasSubject,de,
189,tschechoslowak. Staatsdienst,hasSubject,de,
190,Berufungsausführung,hasSubject,de,
191,D.J.BAF,hasSubject,de,
192,D.J.MIT,hasSubject,de,
193,Mitteilung,hasSubject,de,
194,Ehrenbeleidigung,hasSubject,de,
195,professional research/science conversation,hasSubject,en,
196,T.F.EHR,hasSubject,de,
197,Suburb,hasSubject,en,
198,Duchy,hasSubject,en,
199,Beschwerde,hasSubject,de,
200,conversation,hasSubject,en,
201,D.J.BSW,hasSubject,de,
202,D.J.VRN,hasSubject,de,
203,interview,hasSubject,en,
204,meeting,hasSubject,en,
205,panel,hasSubject,en,
206,press conference,hasSubject,en,
207,question-answer session,hasSubject,en,
208,Repression,hasSubject,de,
209,seminar discussion,hasSubject,en,
210,service encounter,hasSubject,en,
211,Vernehmung,hasSubject,de,
212,working group discussion,hasSubject,en,
213,workshop discussion,hasSubject,en,
214,zwischenstaatliche Verhandlung,hasSubject,de,
215,D.K.TGR,hasSubject,de,
216,Telegramm,hasSubject,de,
217,Ausgang unklar,hasSubject,de,
218,educational seminar discussion,hasSubject,en,
219,E.F.AUS,hasSubject,de,
220,professional business service encounter,hasSubject,en,
221,professional research/science interview,hasSubject,en,
222,professional research/science panel,hasSubject,en,
223,professional research/science question-answer session,hasSubject,en,
224,D.J.UBR,hasSubject,de,
225,Gericht,hasSubject,en,de
226,Übersetzung,hasSubject,de,
227,D.J.BRG,hasSubject,de,
228,D.J.KLG,hasSubject,de,
229,E.F.VER,hasSubject,de,
230,Klage,hasSubject,de,
231,Verurteilung,hasSubject,de,
232,Auftrag,hasSubject,de,
233,D.J.AUF,hasSubject,de,
234,D.J.ERK,hasSubject,de,
235,D.J.NOT,hasSubject,de,
236,D.J.SFE,hasSubject,de,
237,Erklärung (jur.),hasSubject,de,
238,Lohnforderung,hasSubject,de,
239,Notiz,hasSubject,de,
240,Personalvertretung,hasSubject,de,
241,Ruhestand,hasSubject,de,
242,Vorrückung,hasSubject,de,
243,educational interview,hasSubject,en,
244,educational service encounter,hasSubject,en,
245,educational working group discussion,hasSubject,en,
246,leisure interview,hasSubject,en,
247,professional organizational press conference,hasSubject,en,
248,Staatsbedienstetenorganisationen,hasSubject,de,
249,Berichtigung (jur.),hasSubject,de,
250,Empire,hasSubject,en,
251,zwischenstaatliche Vereinbarung,hasSubject,de,
252,Landeskommissariat,hasSubject,en,de
253,Bitte,hasSubject,de,
254,D.J.BIT,hasSubject,de,
255,Strafanzeige,hasSubject,de,
256,Archivrecherchen,hasSubject,,de
257,Beweisantrag,hasSubject,de,
258,Byzantinische Burg,hasSubject,,de
259,Canabae,hasSubject,,la
260,"Die Stunde, Békessy",hasSubject,de,
261,D.J.BWN,hasSubject,de,
262,Forschungsgeschichte,hasSubject,,de
263,Hügelgräber,hasSubject,,de
264,Keramik,hasSubject,,de
265,K.K.STU,hasSubject,de,
266,Lagervorstadt,hasSubject,,de
267,Legionslager,hasSubject,,de
268,Munizipium,hasSubject,,de
269,Nekropole,hasSubject,,de
270,Siedlungstopographie,hasSubject,,de
271,Streik,hasSubject,de,
272,Surveyartefakte,hasSubject,,de
273,Wasserversorgung,hasSubject,,de
274,Beamtenorganisation,hasSubject,de,
275,Druck mit handschriftlichen Annotationen,hasSubject,de,
276,educational conversation,hasSubject,en,
277,professional business panel,hasSubject,en,
278,professional business question-answer session,hasSubject,en,
279,deutschösterr. Regierung,hasSubject,de,
280,K.P.SOZ,hasSubject,de,
281,Sozialdemokratie,hasSubject,de,
282,Berufungsanmeldung,hasSubject,de,
283,Die Fackel,hasSubject,de,
284,D.J.BAN,hasSubject,de,
285,K.K.FAC,hasSubject,de,
286,R.F.ZIV,hasSubject,de,
287,T.F.URV,hasSubject,de,
288,Urheberrechtsverletzung,hasSubject,de,
289,Zivilrecht,hasSubject,de,
290,Anklageschrift,hasSubject,de,
291,D.J.AKS,hasSubject,de,
292,Gewerkschaft,hasSubject,de,
293,Beförderung,hasSubject,de,
294,D.J.ERG,hasSubject,de,
295,Ergänzung,hasSubject,de,
296,Koalitionsfreiheit,hasSubject,de,
297,Bescheid,hasSubject,de,
298,Bestätigung,hasSubject,de,
299,Bevollmächtiger,hasSubject,de,
300,D.J.BSD,hasSubject,de,
301,D.J.BST,hasSubject,de,
302,professional organizational conversation,hasSubject,en,
303,Äußerung,hasSubject,de,
304,D.J.AUG,hasSubject,de,
305,D.J.ERL,hasSubject,de,
306,D.J.KOB,hasSubject,de,
307,D.P.ZTG,hasSubject,de,
308,E.F.FRE,hasSubject,de,
309,E.F.VGL,hasSubject,de,
310,Erlagschein,hasSubject,de,
311,Freispruch,hasSubject,de,
312,High-Bailiwick,hasSubject,en,delete
313,Kostenaufstellung,hasSubject,de,
314,Principality,hasSubject,en,
315,Seat,hasSubject,en,
316,Vergleich (Ausgang),hasSubject,de,
317,Beleg (jur.),hasSubject,de,
318,D.J.BEL,hasSubject,de,
319,D.J.RNG,hasSubject,de,
320,Ernennung,hasSubject,de,
321,Griechenland,hasSubject,de,
322,historical travel guides,hasSubject,en,
323,Karl Baedeker,hasSubject,en,delete
324,K.K.MED,hasSubject,de,
325,Lesbos,hasSubject,de,
326,Medienhistorisches,hasSubject,de,
327,Rechnung,hasSubject,de,
328,Berufung,hasSubject,de,
329,C.Z.STR,hasSubject,de,
330,Deckblatt,hasSubject,de,
331,D.J.BRF,hasSubject,de,
332,D.J.DKB,hasSubject,de,
333,D.J.VOL,hasSubject,de,
334,D.J.VRZ,hasSubject,de,
335,educational,hasSubject,en,
336,Grand Duchy,hasSubject,en,
337,K.K.THE,hasSubject,de,
338,leisure,hasSubject,en,
339,professional business,hasSubject,en,
340,professional organizational,hasSubject,en,
341,professional research and science,hasSubject,en,
342,Sonstiger Materialitätstyp,hasSubject,de,
343,Streitige Zivilrechtssache,hasSubject,de,
344,Theater,hasSubject,de,
345,Verzeichnis,hasSubject,de,
346,Vollmacht,hasSubject,de,
347,Ausbildung,hasSubject,de,
348,Bundesländer,hasSubject,de,
349,D.J.ZAS,hasSubject,de,
350,Föderalismus,hasSubject,de,
351,Fotografien,hasSubject,de,
352,Intertextualität,hasSubject,de,
353,Kündigung,hasSubject,de,
354,Literaturwissenschaft,hasSubject,de,
355,Medienwissenschaft,hasSubject,de,
356,Personalkommission,hasSubject,de,
357,Rechtsgeschichte,hasSubject,de,
358,Zeugenaussage,hasSubject,de,
359,Abhandlung,hasSubject,de,
360,Bericht,hasSubject,de,
361,Betriebsrat,hasSubject,de,
362,Burgfrieden,hasSubject,en,de
363,D.J.ABH,hasSubject,de,
364,D.J.BER,hasSubject,de,
365,D.J.KON,hasSubject,de,
366,D.J.KSB,hasSubject,de,
367,D.J.ZAT,hasSubject,de,
368,D.J.ZUN,hasSubject,de,
369,E.F.NIC,hasSubject,de,
370,Friedensverhandlungen,hasSubject,de,
371,Kassabestätigung,hasSubject,de,
372,K.K.LIT,hasSubject,de,
373,K.K.SCH,hasSubject,de,
374,Konzept (jur.),hasSubject,de,
375,Literarische Berichtigung,hasSubject,de,
376,Nicht verfolgt,hasSubject,de,
377,"Schober, 15. Juli 1927",hasSubject,de,
378,Staatsangestelltenkammer,hasSubject,de,
379,Ungleichbehandlung,hasSubject,de,
380,Zahlungsauftrag,hasSubject,de,
381,Zurücknahme,hasSubject,de,
382,"Berliner Tageblatt, Kerr, Wolff",hasSubject,de,
383,D.J.LIS,hasSubject,de,
384,D.J.VER,hasSubject,de,
385,D.J.ZEB,hasSubject,de,
386,D.K.RAD,hasSubject,de,
387,Gemeindewahlrecht,hasSubject,de,
388,K.K.BER,hasSubject,de,
389,Lohnverhandlung,hasSubject,de,
390,Militarismus,hasSubject,de,
391,Privatrecht,hasSubject,de,
392,Radiogramm,hasSubject,de,
393,R.F.PRI,hasSubject,de,
394,Typoskript mit handschriftlichen Mittelung,hasSubject,de,
395,Vertrag,hasSubject,de,
396,Zahlungseingangsbestätigung,hasSubject,de,
397,Zeitung,hasSubject,de,
398,Aktennotiz,hasSubject,de,
399,Ansuchen,hasSubject,de,
400,Aufstellung,hasSubject,de,
401,D.J.AFS,hasSubject,de,
402,D.J.AKN,hasSubject,de,
403,D.J.ANS,hasSubject,de,
404,Hofgericht,hasSubject,en,de
405,Kommissionsbezirk der Provinzstadt,hasSubject,en,de
406,Military Frontier,hasSubject,en,
407,polyglot dictionary,hasSubject,,en
408,18. Jahrhundert,hasSubject,de,
409,Abrechnung,hasSubject,de,
410,Bibliographie,hasSubject,de,
411,bibliography,hasSubject,en,
412,Crownland,hasSubject,en,
413,D.J.ABR,hasSubject,de,
414,D.J.ANW,hasSubject,de,
415,D.J.VSR,hasSubject,de,
416,D.L,hasSubject,de,
417,Korrespondenz,hasSubject,de,
418,Liste (jur.),hasSubject,de,
419,Literarischer Text,hasSubject,de,
420,Publizistisches Dokument,hasSubject,de,
421,Rechtsnachfolge,hasSubject,de,
422,Sozialgeschichte,hasSubject,de,
423,Tirol,hasSubject,de,
424,Versetzung,hasSubject,de,
425,Versicherung,hasSubject,de,
426,Vertrauensmänner,hasSubject,de,
427,Anfrage,hasSubject,de,
428,Anweisung,hasSubject,de,
429,Aufforderung,hasSubject,de,
430,Berufungsschrift,hasSubject,de,
431,D.J.AFD,hasSubject,de,
432,D.J.ANF,hasSubject,de,
433,D.J.BRS,hasSubject,de,
434,D.J.EIN,hasSubject,de,
435,D.J.GTS,hasSubject,de,
436,D.J.KBS,hasSubject,de,
437,D.J.KLB,hasSubject,de,
438,D.J.RUK,hasSubject,de,
439,D.J.SAT,hasSubject,de,
440,D.K.NCH,hasSubject,de,
441,D.K.UMS,hasSubject,de,
442,E.F.ZUR,hasSubject,de,
443,Einspruch,hasSubject,de,
444,Fotografie (Mat.),hasSubject,de,
445,Free City,hasSubject,en,
446,Gesandtenkonferenz,hasSubject,de,
447,Gutschrift,hasSubject,de,
448,Hofmark,hasSubject,en,de
449,K.K.VER,hasSubject,de,
450,Klagebeantwortung,hasSubject,de,
451,Klagrückziehung,hasSubject,de,
452,Kostenbestimmungsbeschluss,hasSubject,de,
453,Nachricht,hasSubject,de,
454,online site database,hasSubject,en,
